step,time,distance,angle,eq0_force_distance,eq1_force_distance,eq2_force_distance,eq0_force_angle,eq1_force_angle,eq2_force_angle,eq0_impulse,eq1_impulse,eq2_impulse,diagnostics_flags,condition_number,condition_number_spectral,condition_gap,min_eigenvalue,max_eigenvalue,active_equations,drop_events_step,drop_index_mask_step,drop_events_total,recovery_events_step,recovery_steps_step,recovery_events_total,pending_drop_count,max_pending_steps_running
58,0.203000,0.745369,0.332526,-0.154386,0.000000,0.018499,0.307239,0.000000,-0.139795,0.000326,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,58
59,0.206500,0.745374,0.332527,-0.154410,0.000000,0.018443,0.307273,0.000000,-0.139839,0.000327,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,59
60,0.210000,0.745378,0.332529,-0.154434,0.000000,0.018386,0.307307,0.000000,-0.139882,0.000327,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,60
61,0.213500,0.745382,0.332530,-0.154457,0.000000,0.018330,0.307340,0.000000,-0.139926,0.000327,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,61
62,0.217000,0.745386,0.332531,-0.154481,0.000000,0.018273,0.307374,0.000000,-0.139969,0.000328,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,62
63,0.220500,0.745390,0.332532,-0.154505,0.000000,0.018217,0.307407,0.000000,-0.140013,0.000328,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,63
64,0.224000,0.745395,0.332533,-0.154528,0.000000,0.018161,0.307441,0.000000,-0.140056,0.000329,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,64
65,0.227500,0.745399,0.332534,-0.154552,0.000000,0.018105,0.307474,0.000000,-0.140100,0.000329,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,65
66,0.231000,0.745403,0.332535,-0.154576,0.000000,0.018049,0.307507,0.000000,-0.140143,0.000330,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,66
67,0.234500,0.745407,0.332536,-0.154599,0.000000,0.017993,0.307540,0.000000,-0.140186,0.000330,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,67
68,0.238000,0.745411,0.332537,-0.154623,0.000000,0.017938,0.307573,0.000000,-0.140229,0.000331,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,68
69,0.241500,0.745416,0.332538,-0.154646,0.000000,0.017882,0.307606,0.000000,-0.140272,0.000331,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,69
70,0.245000,0.745420,0.332539,-0.154670,0.000000,0.017827,0.307640,0.000000,-0.140315,0.000331,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,70
71,0.248500,0.745424,0.332540,-0.154693,0.000000,0.017771,0.307672,0.000000,-0.140358,0.000332,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,71
72,0.252000,0.745428,0.332541,-0.154716,0.000000,0.017716,0.307705,0.000000,-0.140401,0.000332,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,72
73,0.255500,0.745432,0.332542,-0.154740,0.000000,0.017661,0.307738,0.000000,-0.140443,0.000333,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,73
74,0.259000,0.745436,0.332543,-0.154763,0.000000,0.017606,0.307771,0.000000,-0.140486,0.000333,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,74
75,0.262500,0.745440,0.332544,-0.154786,0.000000,0.017551,0.307804,0.000000,-0.140528,0.000334,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,75
76,0.266000,0.745444,0.332545,-0.154809,0.000000,0.017496,0.307836,0.000000,-0.140571,0.000334,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,76
77,0.269500,0.745449,0.332546,-0.154832,0.000000,0.017441,0.307869,0.000000,-0.140613,0.000334,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,77
78,0.273000,0.745453,0.332547,-0.154855,0.000000,0.017386,0.307902,0.000000,-0.140656,0.000335,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,78
79,0.276500,0.745457,0.332548,-0.154878,0.000000,0.017332,0.307934,0.000000,-0.140698,0.000335,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,79
