time,pos_x,pos_y,angle,vx,vy,omega,translation_x,translation_y,orientation_error,motor_force_x,motor_force_y,limit_force_x,limit_force_y,limit_spring_force_x,limit_spring_force_y,motor_mode_x,motor_mode_y,motor_target_x,motor_target_y,orientation_target,limit_state_x,limit_state_y,limit_lower_y,limit_upper_y,stage
1.264000,0.189317,-0.128631,0.000000,0.081526,-0.081505,0.000000,0.189317,-0.128631,0.000000,0.000000,0.329974,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
1.284000,0.190648,-0.130498,0.000000,0.013581,-0.144094,0.000000,0.190648,-0.130498,0.000000,-36.000000,-36.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
1.304000,0.192191,-0.132055,0.000000,0.075213,-0.077112,0.000000,0.192191,-0.132055,0.000000,-0.630196,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
1.324000,0.193945,-0.133300,0.000000,0.139186,-0.009368,0.000000,0.193945,-0.133300,0.000000,36.000000,36.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
1.344000,0.195392,-0.134760,0.000000,0.071387,-0.071223,0.000000,0.195392,-0.134760,0.000000,0.000000,0.570158,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
1.364000,0.196539,-0.136435,0.000000,0.004652,-0.135347,0.000000,0.196539,-0.136435,0.000000,-36.000000,-36.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
1.384000,0.197892,-0.137804,0.000000,0.066785,-0.067616,0.000000,0.197892,-0.137804,0.000000,-0.284260,-0.062335,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
1.404000,0.197916,-0.138874,0.212886,-0.129585,-0.000799,-1.778438,0.197916,-0.138874,-0.007114,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.424000,0.191414,-0.135797,0.219999,-0.455231,0.194662,-0.000334,0.191414,-0.135797,-0.000001,0.000000,20.778615,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
1.444000,0.181068,-0.132144,0.220000,-0.506313,0.167155,-0.000000,0.181068,-0.132144,-0.000000,3.625860,9.915103,0.000000,0.000000,0.000000,0.000000,1,1,-0.140000,-0.040000,0.220000,0,0,-0.300000,0.050000,1
